project_name,id,lon,lat,laccPriority,Population,-- URBAN WATER SOURCES --,Groundwater (%),Surface Water (%),Desalination/Other (%),-- WATER QUANTITY RISK --,Annual Water Stress Category,Annual Water Stress Index,Seasonal Water Stress Category,Seasonal Water Stress Index,-- WATER QUALITY RISK --,Annual Phosphorous Yield Category,Annual Phosphorous Yield (kg/km^2),Annual Sediment Yield Category,Annual Sediment Yield (tons/km^2),-- WATER QUALITY OPPORTUNITY --,Return on Investment Category,Return on Investment,Forest Protection: Phosphorous Category,Forest Protection: Phosphorous,Forest Protection: Sediment Category,Forest Protection: Sediment,Reforestation: Phosphorous Category,Reforesation: Phosphorous,Reforestation: Sediment Category,Reforestation: Sediment,Riparian Reforestation: Phosphorous Category,Riparian Reforestation: Phosphorous,Riparian Reforestation: Sediment Category,Riparian Reforestation: Sediment,-- FLOOD MITIGATION --,Riverine Flood Mitigation City Ranking Category,Riverine Flood Mitigation City Ranking,Urban Population Exposed to Riverine Flooding,Biophysical Opportunity to Mitigate Riverine Flooding,Stormwater Flood Mitigation City Ranking
San José,city55,-84.0768967,9.93,Priority,1704468,0,25,75,0,0,Not Stressed,0.086,Stressed,0.955491359,0,High,1.18,High,14185,0,Medium,0.487,Medium Potential,73.4,Medium Potential,22.7,High Potential,7.8,Insufficient Scope,,Medium Potential,24.38131967,Medium Potential,11.7,0,Medium,38,14080,2.37,56
San Juan,city56,-66.0585022,18.41,No,2475123,0,0,100,0,0,Stressed,0.403,Stressed,1,0,High,0.77,High,2772,0,Low,0.086,Low Potential,191.7,Medium Potential,62.8,Insufficient Scope,,Insufficient Scope,,Medium Potential,29.83211121,Insufficient Scope,,0,Very High,1,2443023,2.94,43
San Luis Potosí,city57,-100.8710022,22.14,No,1143767,0,98,2,0,0,Not Applicable,0.268,Not Applicable,1,0,Not Applicable,27.62,Not Applicable,415,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,9.2,Insufficient Scope,0.8,Insufficient Scope,6.151138707,Insufficient Scope,,Insufficient Scope,,0,High,27,16,2.57,38
San Salvador,city58,-89.2166977,13.75,No,1739642,0,50,50,0,0,Not Stressed,0.054,Stressed,0.888970142,0,High,0.31,High,402,0,Low,0.046,Low Potential,"1,183.7",Low Potential,151.9,Low Potential,402.8,Low Potential,232.5530897,Low Potential,156.9011974,Medium Potential,53.4,0,Low ,52,116082,2.36,61
Santa Cruz,city59,-63.1570015,-17.79,No,1965373,0,100,0,0,0,Not Applicable,,Not Applicable,,0,Not Applicable,,Not Applicable,,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Medium,37,15657,2.4,62
Santiago,city60,-70.653801,-33.45,Priority,6354952,0,15,85,0,0,Stressed,1,Stressed,1,0,High,4.05,High,25382,0,Medium,0.268,Insufficient Scope,,Insufficient Scope,,Medium Potential,38.9,Insufficient Scope,6.332074122,Insufficient Scope,,Insufficient Scope,,0,Low to None,64,88079,2.22,35
Santo Domingo,city61,-69.911499,18.48,No,2358764,0,32,68,0,0,Stressed,0.593,Stressed,1,0,High,0.9,High,2731,0,Low,0.08,Low Potential,149.2,Medium Potential,53.2,Insufficient Scope,,Insufficient Scope,,Medium Potential,32.00975509,Insufficient Scope,,0,Very High,2,1629788,2.97,36
Santos,city62,-46.3348999,-23.95,Priority,1768318,0,0,100,0,0,Not Stressed,0.163,Stressed,1,0,Low,0,High,3806,0,High,5.984,Insufficient Scope,,Insufficient Scope,,High Potential,1.2,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low to None,66,5771,2.21,16
São Luís,city63,-44.2317009,-2.58,No,1436909,0,22,78,0,0,Not Stressed,0.142,Stressed,0.646899312,0,Medium,0.09,Medium,34,0,Insufficient Scope,0,Insufficient Scope,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Medium,34,280603,2.44,7
São Paulo,city64,-46.6436996,-23.58,Priority,21028372,0,0,100,0,0,Not Stressed,0.254,Stressed,1,0,Medium,0.14,High,1535,0,High,3.016,Insufficient Scope,,Medium Potential,33.6,High Potential,4.3,Insufficient Scope,5.829750274,Insufficient Scope,202.8427034,Medium Potential,14.8,0,Low ,42,6738124,2.22,3
Tegucigalpa,city65,-87.2011032,14.1,No,1256531,0,1,99,0,0,Not Stressed,0.069,Stressed,1,0,High,2.71,High,1773,0,Medium,0.122,Insufficient Scope,114.6,Medium Potential,23,Medium Potential,15.5,Insufficient Scope,,Medium Potential,15.20985353,Insufficient Scope,4,0,Low ,55,1454,2.37,49
Teresina,city66,-42.8154984,-5.09,No,968065,0,0,100,0,0,Not Stressed,0.005,Not Stressed,0.020334123,0,Low,0,Low,16,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,,,,,
Tijuana,city67,-117.0279999,32.41,Priority,2061496,0,5,95,0,0,Stressed,0.548,Stressed,1,0,High,0.73,Medium,97,0,High,1.012,Medium Potential,18.3,Medium Potential,22.3,High Potential,9.7,High Potential,3.789057388,Insufficient Scope,,Insufficient Scope,,0,Very High,4,647869,2.84,50
Toluca,city68,-99.597702,19.3,No,1928525,0,13,88,0,0,Not Stressed,0.109,Stressed,1,0,High,0.95,High,731,0,Medium,0.179,Low Potential,325.9,Medium Potential,20.9,Medium Potential,19.9,Medium Potential,33.52898487,Insufficient Scope,,Insufficient Scope,,0,Very High,9,76384,2.83,26
Torreón,city69,-103.3939972,25.63,No,1344439,0,100,0,0,0,Not Applicable,,Not Applicable,,0,Not Applicable,,Not Applicable,,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,High,21,161595,2.61,68
Valencia,city70,-67.995697,10.16,No,2040623,0,13,87,0,0,Not Stressed,0.015,Stressed,1,0,High,2.56,High,896,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low ,50,250919,2.36,53
Valparaíso,city71,-71.6200027,-33.05,No,930616,0,98,2,0,0,Not Applicable,0.895,Not Applicable,1,0,Not Applicable,3.07,Not Applicable,1558,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,17.1,Insufficient Scope,10.5,Insufficient Scope,7.925408454,Insufficient Scope,,Insufficient Scope,,0,Low to None,58,404947,2.22,59
