City,NAME,lon,lat,LACC_Status,Population (UNPD 2015 estimate),-- SOURCE WATERSHED --,Groundwater,Surface,Desalination/Other,Annual Stress Category,Annual Stress,Seasonal Stress Category,Seasonal Stress,P Yield Category,PYield_calibrated,Sediment Yield Category,SedYield_calibrated,Return on Investment Category,Return on Investment,ForestProtection_sed_category,loss3_sed_km2_to_10per,ForestProtection_P_category,loss3_P_km2_to_10per,Refor_sed_category,Refor_sed_km2_to_10per,Refor_P_category,Refor_P_km2_to_10per,AgRip_sed_category,AgRip_sed_km2_to_10per,AgRip_P_category,AgRip_P_km2_to_10per,-- RIVERINE FLOOD MITIGATION --,City Rank Category,City Rank for Riverine Flood Mitigation,Urban Population Exposed to  River Flooding,Biophysical Opportunity to Mitigate Flooding,-- STORMWATER FLOOD MITIGATION --,City Rank for Stormwater Flood Mitigation
Buenos Aires,Buenos Aires,-58.3917999,-34.5909004,,14150653,,4%,96%,0%,Not Stressed,0.334072612,Not Stressed,0.002946618,Low,0.010310096,Medium,137.873116,Low,0.009434211,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Low Potential,1795.32656,Low Potential,7911.557431,,Low ,43,1670263,2.297104778,,52
Cali,Cali,-76.5230026,3.4484601,,2665415,,0%,100%,0%,Not Stressed,0.03,Not Stressed,0.157714329,High,0.851937832,High,7158.199574,Low,0.083372401,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Low Potential,340.1758158,Low Potential,195.7484779,Low Potential,481.8497993,,High,22,156112,2.591542605,,9
Campinas,Campinas,-47.0536003,-22.9113007,,3054344,,0%,100%,0%,Not Stressed,0.192382255,Stressed,1,High,0.233498674,High,722.3812295,Medium,0.504314063,Insufficient Scope,86.90285982,Insufficient Scope,,Insufficient Scope,,Medium Potential,12.87583599,Medium Potential,91.79571443,Insufficient Scope,,,Low to None,60,135295,2.221569646,,2
Caracas,Caracas,-66.9083023,10.5040998,,3518023,,0%,100%,0%,Not Stressed,0.2591,Stressed,1,High,5.74187443,High,1210.386451,Medium,0.400290279,Insufficient Scope,16.18559328,Insufficient Scope,44.29081007,Insufficient Scope,0.245791014,Medium Potential,25.43213893,Insufficient Scope,,Insufficient Scope,,,High,15,1439064,2.613077333,,66
Cartagena,Cartagena,-75.4287033,10.3472004,,1092338,,0%,100%,0%,Not Stressed,0.35583665,Stressed,1,High,0.540171363,Medium,177.2952531,Insufficient Scope,5.42E-08,Insufficient Scope,34615.46526,Insufficient Scope,51097.83239,Insufficient Scope,,Insufficient Scope,1118.683753,Insufficient Scope,3110.353039,Insufficient Scope,14340.74491,,Very High,5,613920,3.199970134,,60
Concepci—n,Concepción,-73.0501022,-36.8153,,823065,,47%,53%,0%,Not Stressed,0.048,Stressed,0.757067083,Medium,0.026092394,High,1709.931794,Low,0.014739847,Low Potential,1001.809705,Low Potential,786.7883511,Insufficient Scope,,Low Potential,1889.328738,Insufficient Scope,,Low Potential,726.128517,,Medium,32,681774,2.375118078,,51
C—rdoba,Córdoba,,,,1654039,,0%,100%,0%,Not Stressed,0.234549425,Stressed,1,Medium,0.208380554,High,960.9480378,Insufficient Scope,6.43E-08,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,,Low to None,61,116764,2.212007981,,37
Cœcuta,CUCUTA,-72.5351028,7.8895602,,861690,,0%,100%,0%,Not Stressed,0.027,Stressed,0.960862898,Medium,0.090144824,High,2033.791633,High,12.28731289,Low Potential,116.2459144,Low Potential,507.4318405,Insufficient Scope,,High Potential,0.463725621,Insufficient Scope,,Insufficient Scope,,,Very High,12,520,3.024766989,,46
Curitiba,Curitiba,-49.2645988,-25.4557991,,3467587,,0%,100%,0%,Not Stressed,0.035,Stressed,1,High,3.673909626,High,324.888841,High,51.81493029,High Potential,3.141615611,Medium Potential,42.85462364,High Potential,0.621954352,High Potential,0.157484241,Insufficient Scope,,Insufficient Scope,3.376146411,,Low ,49,271083,2.221881797,,4
Florian—polis,FlorianÃ_polis,-48.5931015,-27.5904007,,1172257,,0%,100%,0%,Not Stressed,0.067,Not Stressed,0.330563878,High,0.327071853,High,1748.984906,High,1.141515372,Low Potential,207.2611419,Low Potential,121.8183035,High Potential,4.572109176,High Potential,5.780728533,Insufficient Scope,,Insufficient Scope,,,Very High,8,218496,3.454202636,,30
Fortaleza,Fortaleza,-38.5265007,-3.7287199,,3878369,,0%,100%,0%,Stressed,1,Stressed,1,High,6.079556752,High,596.6302934,Insufficient Scope,7.72E-08,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,,Medium,31,1190749,2.404691047,,31
Goi‰nia,Goi?nia,-49.2874985,-16.7080002,,2281808,,25%,75%,0%,Not Stressed,0.067,Stressed,1,High,0.288730787,High,550.3414167,Medium,0.219274069,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Medium Potential,64.28195283,Low Potential,139.0830217,,Low ,53,21027,2.222049821,,5
Grande Vit—ria,Grande VitÃ_ria,-40.2980003,-20.2980995,,1816111,,0%,100%,0%,Stressed,0.4615,Stressed,1,Medium,0.137530645,High,532.6426976,Medium,0.253519072,Low Potential,414.3107618,Low Potential,570.0079011,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Medium Potential,51.41516814,,Very High,6,383424,2.81663651,,8
Guadalajara,Guadalajara,-103.3499985,20.6763,,4868678,,32%,68%,0%,Not Stressed,0.105,Stressed,1,High,0.47116282,Medium,112.5043074,Low,0.016884676,Low Potential,456.3463766,Insufficient Scope,,Low Potential,955.1831606,Low Potential,1569.983933,Insufficient Scope,,Insufficient Scope,,,Medium,41,103,2.52207485,,40
Guatemala City,,-90.5926971,14.5888996,,1362206,,50%,50%,0%,Not Stressed,0.035219512,Stressed,1,High,2.097572572,High,1106.961062,High,1.681582039,Medium Potential,26.21438285,Low Potential,201.0688981,Medium Potential,32.34953118,High Potential,2.514745786,Insufficient Scope,2.790602161,Insufficient Scope,,,Low ,48,339091,2.36200656,,54
Guayana City,,-62.5782013,8.3017397,,610514,,0%,100%,0%,Not Stressed,0.001,Not Stressed,0.002394495,Low,0.000228033,Medium,56.75036593,Medium,0.937409659,Low Potential,3628.813264,Insufficient Scope,,Low Potential,664.5610182,High Potential,5.826103355,Insufficient Scope,,Insufficient Scope,,,Low ,51,233304,2.366283097,,42
Guayaquil,Guayaquil,-79.9061966,-2.2034099,,2375062,,0%,100%,0%,Not Stressed,0.127,Stressed,1,Medium,0.063917823,High,330.3646275,Medium,0.10545447,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Low Potential,439.2041862,Low Potential,147.4426322,Low Potential,885.3655635,,Medium,30,1424401,2.451132889,,14
Havana,Havana,-82.3797989,23.1275997,,2071462,,25%,75%,0%,Stressed,1,Stressed,1,High,6.788497919,High,1598.192916,Medium,0.686003025,Insufficient Scope,2.099780173,Insufficient Scope,,Insufficient Scope,,High Potential,1.755351282,Insufficient Scope,,Insufficient Scope,,,High,18,849122,2.712713858,,45
Jo‹o Pessoa,Jo?o Pessoa,-34.9734001,-7.12467,,1204214,,25%,75%,0%,Not Stressed,0.243,Stressed,1,High,16.53552358,Medium,86.97061839,Medium,0.945826598,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,0.166292018,Medium Potential,12.38505442,,High,23,77515,2.795295044,,32
Ju‡rez,Juarez,-106.4660034,31.6555996,,1381701,,100%,0%,0%,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Insufficient Scope,4.84E-08,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,,Low to None,57,416362,2.119058911,,13
La Paz,La Paz,-68.1517029,-16.5056,,1887079,,0%,100%,0%,Not Stressed,0.011,Stressed,1,High,3.25821776,High,6157.83238,Insufficient Scope,6.34E-08,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,,High,26,4764,2.745264268,,48
Le—n,León,-101.677002,21.1252995,,1813209,,100%,0%,0%,Not Applicable,,Not Applicable,,Not Applicable,     ,Not Applicable,,Insufficient Scope,5.00E-08,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,,Medium,39,2041,2.482393541,,27
Lima,Lima,-77.0610962,-12.0829,,9843168,,12%,88%,0%,Stressed,0.914,Stressed,1,Medium,0.119577492,High,1151.308522,Insufficient Scope,1.02E-07,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,,Low to None,56,551378,2.219714611,,63
Macei—,MaceiÂ¢,-35.8404999,-9.5445404,,1268292,,0%,100%,0%,Not Stressed,0.05030038,Stressed,1,High,636.4969613,High,618.4113921,High,5.252488028,Insufficient Scope,0.848902954,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,High Potential,2.331322815,Medium Potential,12.85144254,,High,19,338595,2.638193541,,20
Managua,Managua,-86.2587967,12.1485004,,1058344,,20%,80%,0%,Stressed,0.405,Stressed,1,Medium,0.096423983,High,691.8113829,Low,0.017164535,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Low Potential,228.3560246,Insufficient Scope,,Low Potential,593.7739893,,,,,,,
Manaus,Manaus,-59.9688988,-3.0691099,,2043390,,2%,98%,0%,Not Stressed,0,Not Stressed,0.000421941,Low,3.60E-05,Low,13.34841292,Low,0.001477167,Low Potential,4303.374922,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,,Low ,46,518999,2.366045051,,1
Maracaibo,Maracaibo,-71.759697,10.6766996,,2522082,,0%,100%,0%,Stressed,0.493,Stressed,1,High,0.333742573,High,677.2488423,Medium,0.360238884,Medium Potential,20.38127517,Medium Potential,91.84719175,Insufficient Scope,,Insufficient Scope,0.120050473,Insufficient Scope,,Insufficient Scope,,,Very High,7,323748,2.958097262,,39
Maracay,Maracay,-67.5948029,10.2427998,,1221942,,38%,62%,0%,Not Stressed,0.042517241,Stressed,1,High,0.52502714,High,689.1911651,Insufficient Scope,5.68E-08,Insufficient Scope,69.64616643,Insufficient Scope,,Insufficient Scope,23.49417149,Insufficient Scope,7.07234886,Insufficient Scope,,Insufficient Scope,,,High,24,35743,2.714571229,,65
Medell’n,Medellín,-75.5746994,6.2476101,,4076215,,25%,75%,0%,Not Stressed,0.021666667,Stressed,1,High,0.431122337,High,1016.739627,High,2.70160622,Low Potential,134.2438508,Low Potential,329.6764772,Insufficient Scope,,High Potential,6.260042366,High Potential,6.198574552,Medium Potential,24.3825152,,Low ,54,12905,2.273423636,,58
Mendoza,Mendoza,-68.8410034,-32.8933983,,1020982,,50%,50%,0%,Stressed,1,Stressed,1,Low,0.003576559,High,1880.439556,Insufficient Scope,5.69E-08,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,,,,,,,
M_rida,Merida,-89.5708008,20.9962006,,1123376,,100%,0%,0%,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Insufficient Scope,4.24E-08,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,,Very High,11,7488,3.453925128,,57
Mexico City,México City,-99.1312027,19.4150009,,21705580,,81%,19%,0%,Not Applicable,0.109,Not Applicable,1,Not Applicable,0.950377751,Not Applicable,731.4241802,Insufficient Scope,8.85E-08,Insufficient Scope,20.94730356,Insufficient Scope,325.891894,Insufficient Scope,33.52898487,Insufficient Scope,19.87544276,Insufficient Scope,,Insufficient Scope,,,Medium,29,2107270,2.466906325,,12
Monterrey,Monterrey,-100.3069992,25.6963997,,4654829,,50%,50%,0%,Stressed,0.409666667,Stressed,1,Medium,0.145509989,High,665.3312617,Medium,0.254590527,Medium Potential,52.97386169,Insufficient Scope,,Insufficient Scope,,Medium Potential,23.84092717,Insufficient Scope,,Insufficient Scope,,,High,20,272135,2.6049627,,33
Montevideo,Montevideo,-56.167099,-34.8690987,,1730656,,0%,100%,0%,Not Stressed,0.027,Not Stressed,0.256992684,Medium,0.081923211,Medium,182.5855039,Insufficient Scope,6.63E-08,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,,Medium,33,368203,2.386372242,,67
Natal,Natal,-35.2533989,-5.8868899,,1453978,,33%,67%,0%,Not Stressed,0.2855,Stressed,1,High,4.870996963,Medium,29.11758997,Insufficient Scope,5.83E-08,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,,Low to None,63,99839,2.221187389,,21
Panama City,Panama,-79.5367966,8.9640398,,1584657,,0%,100%,0%,Not Stressed,0.04,Not Stressed,0.277670664,Low,0.00748764,High,859.3587064,Medium,0.154674439,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Medium Potential,12.39248555,,High,17,956631,2.707585625,,19
Porto Alegre,Pôrto Alegre,-51.2216988,-30.0321007,,4113009,,0%,100%,0%,Stressed,0.473149395,Stressed,1,High,9.00002592,High,2856.652066,Insufficient Scope,8.14E-08,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,4707.451655,,Low ,44,1196336,2.307546815,,22
Puebla de Zaragoza,Puebla de Zaragoza,-98.2895966,19.1544991,,2503377,,100%,0%,0%,Not Applicable,,Not Applicable,,Not Applicable, ,Not Applicable,,Insufficient Scope,5.95E-08,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,,Low to None,62,111253,2.19727282,,17
Quer_taro,Queretaro,-100.4229965,20.6462002,,1306139,,33%,33%,33%,Not Applicable,1,Not Applicable,1,Not Applicable,0.116310836,Not Applicable,89.88326524,Low,0.00926038,Low Potential,445.6482438,Insufficient Scope,,Low Potential,509.7628921,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,,Medium,40,269,2.407413626,,18
Quito,Quito,-78.4973984,-0.199823,,1738937,,3%,98%,0%,Not Stressed,0.016598291,Stressed,1,High,2.187786538,High,1756.125602,High,2.001933978,Insufficient Scope,6.300529224,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,29.82863744,High Potential,7.044223386,Insufficient Scope,10.23174184,,Very High,13,389,3.322910325,,25
Recife,Recife,-34.8897018,-8.0563002,,3939253,,0%,100%,0%,Stressed,0.556983291,Stressed,1,High,9.395107366,High,977.7001054,High,2.654511715,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,631.194786,High Potential,6.582705819,Medium Potential,44.50812708,,High,16,1153131,2.565640703,,10
Rio de Janeiro,Rio de Janeiro,-43.1941986,-22.9134007,,12380355,,0%,100%,0%,Stressed,0.999388351,Stressed,1,Medium,0.131449328,High,1358.438614,Medium,0.459586633,Insufficient Scope,3.039336955,Insufficient Scope,474.8746737,Insufficient Scope,2.683156356,Medium Potential,28.00771881,Insufficient Scope,167.8317755,Insufficient Scope,1179.697534,,Medium,28,4129906,2.48181618,,34
Rosario,Rosario,-60.6837006,-32.9917984,,1365084,,14%,86%,0%,Not Stressed,0.001,Not Stressed,0.002647631,Low,0.011349395,High,260.8275107,Insufficient Scope,6.03E-08,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,,Low ,45,807022,2.22199084,,64
Salvador,Salvador,-38.5112991,-12.9801998,,4506290,,0%,100%,0%,Stressed,0.780677295,Stressed,1,High,0.227137387,Medium,74.60337037,High,3.13291673,Insufficient Scope,2.567799827,High Potential,7.84854269,High Potential,2.764730677,Low Potential,794.376087,Insufficient Scope,0.63169872,Insufficient Scope,1.227859363,,High,14,1443046,2.641561642,,23
San Jos_,San José,-84.0768967,9.9286804,,1704468,,25%,75%,0%,Not Stressed,0.086,Stressed,0.955491359,High,1.183841487,High,14184.63342,Medium,0.486878455,Medium Potential,22.72192369,Medium Potential,73.36951493,Insufficient Scope,,High Potential,7.805785732,Medium Potential,11.65371908,Medium Potential,24.38131967,,Medium,38,14080,2.367343869,,56
San Juan,San Juan,-66.0585022,18.4120007,,2475123,,0%,100%,0%,Stressed,0.4025,Stressed,1,High,0.774342036,High,2771.55027,Low,0.086095975,Medium Potential,62.81819279,Low Potential,191.7229281,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Medium Potential,29.83211121,,Very High,1,2443023,2.941385398,,43
SanÊLuisÊPotos’,San Luis Potosí,-100.8710022,22.1420002,,1143767,,98%,2%,0%,Not Applicable,0.268,Not Applicable,1,Not Applicable,27.6173771,Not Applicable,415.1690916,Insufficient Scope,4.78E-08,Insufficient Scope,9.163483331,Insufficient Scope,,Insufficient Scope,6.151138707,Insufficient Scope,0.808298037,Insufficient Scope,,Insufficient Scope,,,High,27,16,2.572729504,,38
San Salvador,San Salvador,-89.2166977,13.7461996,,1739642,,50%,50%,0%,Not Stressed,0.054,Stressed,0.888970142,High,0.312901672,High,402.2653802,Low,0.045847131,Low Potential,151.9319848,Low Potential,1183.706571,Low Potential,232.5530897,Low Potential,402.7924529,Medium Potential,53.42622481,Low Potential,156.9011974,,Low ,52,116082,2.36275681,,61
Santa Cruz,Santa Cruz,-63.1570015,-17.7912006,,1965373,,100%,0%,0%,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Insufficient Scope,5.91E-08,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,,Medium,37,15657,2.399604392,,62
Santiago,Santiago,-70.653801,-33.4504013,,6354952,,15%,85%,0%,Stressed,1,Stressed,1,High,4.048183457,High,25381.76365,Medium,0.267929152,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,6.332074122,Medium Potential,38.90240682,Insufficient Scope,,Insufficient Scope,,,Low to None,64,88079,2.219119912,,35
Santo Domingo,Santo Domingo,-69.911499,18.4841003,,2358764,,32%,68%,0%,Stressed,0.59282147,Stressed,1,High,0.904329257,High,2730.557628,Low,0.080018181,Medium Potential,53.21347767,Low Potential,149.2450414,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Medium Potential,32.00975509,,Very High,2,1629788,2.966631295,,36
Santos,Santos,-46.3348999,-23.9549007,,1768318,,0%,100%,0%,Not Stressed,0.163,Stressed,1,Low,0.004617565,High,3805.828724,High,5.984149943,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,High Potential,1.182492092,Insufficient Scope,,Insufficient Scope,,,Low to None,66,5771,2.20564304,,16
S‹o Lu’s,S?o Luis,-44.2317009,-2.5761001,,1436909,,22%,78%,0%,Not Stressed,0.1424625,Stressed,0.646899312,Medium,0.094432478,Medium,33.57506211,Insufficient Scope,5.52E-08,Insufficient Scope,0.044606025,Insufficient Scope,0.035753982,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,,Medium,34,280603,2.435976175,,7
S‹o Paulo,São Paulo,-46.6436996,-23.5806007,,21028372,,0%,100%,0%,Not Stressed,0.25352647,Stressed,1,Medium,0.140766615,High,1535.259808,High,3.016356727,Medium Potential,33.58196159,Insufficient Scope,,Insufficient Scope,5.829750274,High Potential,4.334833177,Medium Potential,14.76734435,Insufficient Scope,202.8427034,,Low ,42,6738124,2.222333596,,3
Tegucigalpa,Tegucigalpa,-87.2011032,14.0997,,1256531,,1%,99%,0%,Not Stressed,0.069,Stressed,1,High,2.709175084,High,1773.055816,Medium,0.122234185,Medium Potential,22.97356861,Insufficient Scope,114.6270727,Insufficient Scope,,Medium Potential,15.50011943,Insufficient Scope,4.048263562,Medium Potential,15.20985353,,Low ,55,1454,2.365461531,,49
Teresina,Teresina,-42.8154984,-5.0887299,,968065,,0%,100%,0%,Not Stressed,0.005,Not Stressed,0.020334123,Low,0.001679378,Low,15.80586124,Insufficient Scope,5.38E-08,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,,,,,,,
Tijuana,Tijuana,-117.0279999,32.4104996,,2061496,,5%,95%,0%,Stressed,0.547847136,Stressed,1,High,0.732088557,Medium,97.18390107,High,1.012245743,Medium Potential,22.25307972,Medium Potential,18.26742067,High Potential,3.789057388,High Potential,9.695169549,Insufficient Scope,,Insufficient Scope,,,Very High,4,647869,2.843276984,,50
Toluca,Toluca,-99.597702,19.2989998,,1928525,,13%,88%,0%,Not Stressed,0.109,Stressed,1,High,0.950377751,High,731.4241802,Medium,0.178936108,Medium Potential,20.94730356,Low Potential,325.891894,Medium Potential,33.52898487,Medium Potential,19.87544276,Insufficient Scope,,Insufficient Scope,,,Very High,9,76384,2.826141577,,26
Torre—n,Torreon,-103.3939972,25.6348991,,1344439,,100%,0%,0%,Not Applicable,,Not Applicable,,Not Applicable,,Not Applicable,,Insufficient Scope,4.98E-08,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,,High,21,161595,2.6092686,,68
Valencia,Valencia,-67.995697,10.1590004,,2040623,,13%,87%,0%,Not Stressed,0.015,Stressed,1,High,2.561303175,High,896.1981926,Insufficient Scope,7.29E-08,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,,Low ,50,250919,2.355063274,,53
Valpara’so,Valparaíso,-71.6200027,-33.0466995,,930616,,98%,2%,0%,Not Applicable,0.895,Not Applicable,1,Not Applicable,3.065371984,Not Applicable,1558.027901,Insufficient Scope,5.51E-08,Insufficient Scope,17.07545306,Insufficient Scope,,Insufficient Scope,7.925408454,Insufficient Scope,10.46526615,Insufficient Scope,,Insufficient Scope,,,Low to None,58,404947,2.21577921,,59
